ClientID,ClientName,ClientStartDate,InvoiceMonth,ServiceTier_Contract,ServerCount_Contract,ServerCount_Actual_Avg,SupportTicketCount,BilledAmount_INR
CL-25427,Soni-Chakrabarti,2018-08-18,2022-11-01,Pro,22,22,1.0,177288.01
CL-64372,"Kara, Venkataraman and Jha",2014-07-01,2020-01-01,Basic,12,10,,39953.54
CL-37071,Atwal and Sons,2016-11-03,2022-03-01,Basic,7,7,0.0,27547.22
CL-37071,Atwal and Sons,2016-11-03,2017-05-01,Basic,7,7,,28229.72
CL-93734,"Ganguly, Ramanathan and Chahal",2015-01-13,2023-09-01,Pro,29,30,2.0,235470.78
CL-95027,Rao-Chand,2015-05-18,2018-06-01,Basic,12,13,,51179.24
CL-47213,Srinivas-Subramanian,2014-02-01,2017-10-01,Enterprise,92,89,,1337067.45
CL-71617,Chacok Ltd,2013-09-29,2024-09-01,basic,9,10,0.0,39578.82
CL-93176,Batra-Samra,2014-11-26,2015-10-01,Basic,15,16,,62919.23
CL-64372,"Kara, Venkataraman and Jha",2014-07-01,2014-08-01,Basic,12,12,,48791.87
CL-36429,Kothari-Contractor,2015-11-05,2020-08-01,Basic,5,5,,20363.04
CL-99845,Chadha-Patel,2015-12-09,2023-08-01,Basic,13,13,6.0,51952.51
CL-45715,Nori LLC,2024-01-23,2024-07-01,Pro,36,37,3.0,291905.26
CL-18180,Banik PLC,2024-04-28,2024-09-01,Pro,31,33,2.0,265591.01
CL-37071,Atwa land Sons,2016-11-03,2024-02-01,Basic ,7,7,0.0,28250.09
CL-37071,Atwal and Sons,2016-11-03,2023-06-01,Basic,7,7,0.0,27626.8
CL-84661,Chana Group,2014-10-18,2016-05-01,Basic,8,8,,31676.42
CL-37114,"Gola, Issac and Iyengar",2017-04-28,2021-12-01,Basic,12,11,1.0,44374.11
CL-64897,"Narang, Doshi and Pillay",2016-04-18,2017-10-01,Enterprise,63,63,,943353.91
CL-88571,"Narasimhan, Reddy and Dhawan",2014-12-25,2020-08-01,Basic,8,8,,31786.14
CL-37114,"Gola, Issac and Iyengar",2017-04-28,2023-01-01,Basic,12,11,1.0,44847.61
CL-80376,Kari and Sons,2016-01-02,2021-08-01,Basic,12,12,,48872.41
CL-88571,"Narasimhan, Reddy and Dhawan",2014-12-25,2019-08-01,Basic,8,8,,32509.95
CL-24337,Vig-Sangha,2016-10-13,2024-08-01,Pro,32,33,2.0,261081.55
CL-82328,"Morar, Chana and Nadkarni",2016-11-16,2024-12-01,Pro,27,25,2.0,201149.1
CL-85839,Kapadia and Sons,2019-09-25,2024-03-01,Basic,8,8,0.0,31606.52
CL-95027,Rao-Chand,2015-05-18,2021-06-01,Basic,12,13,,51803.79
CL-64372,"Kara, Venkataraman and Jha",2014-07-01,2025-05-01,Basic,12,12,1.0,48899.18
CL-97100,"Sandhu, Bahl and Sandal",2019-02-19,2019-05-01,Basic,13,12,,47250.32
CL-97964,Kpaoor Inc,2015-11-09,2022-02-01,Pro ,35,35,4.0,283887.72
CL-26502,Badal-Jaggi,2016-11-25,2020-08-01,Basic,12,12,,48374.01
CL-22205,Boase-Vohra,2016-06-15,2021-08-01,Enterprise,91,93,,1371240.36
CL-62756,"Sunder, Sarna and Cheema",2020-07-16,2024-02-01,Basic,15,15,1.0,60173.19
CL-24337,Vig-Sangha,2016-10-13,2020-12-01,Pro,32,30,,242043.93
CL-61312,Comar-Sandal,2014-03-29,2015-11-01,Pro,35,36,,291296.38
CL-82328,"Morar, Chana and Nadkarni",2016-11-16,2025-02-01,Pro,27,27,3.0,218107.51
CL-79605,"Gole, Varughese and Nadkarni",2016-10-29,2025-01-01,Pro,18,17,4.0,135157.59
CL-35893,"Goda, Sampath and Kakar",2018-04-05,2019-12-01,Enterprise,55,47,,705880.1
CL-83431,"Pal, Zachariah and Madan",2015-09-17,2025-03-01,Enterprise,76,82,5.0,1222267.33
CL-97100,"Sandhu, Bahl and Sandal",2019-02-19,2025-05-01,Basic,13,13,3.0,51564.7
CL-64587,"Bhakta, Deshmukh and Lata",2017-04-04,2021-03-01,Basic,11,12,,48351.82
CL-82328,"Morar, Chana and Nadkarni",2016-11-16,2021-10-01,Pro,27,28,1.0,222358.04
CL-62756,"Sunder, Sarna and Cheema",2020-07-16,2021-05-01,Basic,15,15,,61187.42
CL-19522,"Gera, Char and Raj",2016-03-13,2023-07-01,Pro,38,39,2.0,311201.2
CL-74628,Batra-Acharya,2021-02-09,2021-11-01,Basic,6,6,0.0,24376.59
CL-36010,"Agate, Deshpandea nd Kurian",2022-07-23,2022-10-01,Enterprise ,69,67,5.0,1011093.92
CL-22205,Boase-Vohra,2016-06-15,2023-06-01,Enterprise,91,100,5.0,1479600.89
CL-47213,Srinivas-Subramanian,2014-02-01,2025-04-01,Enterprise,92,91,5.0,1369055.45
CL-96503,Sundaram PLC,2019-01-17,2022-05-01,Enterprise,63,65,5.0,969572.17
CL-36429,Kothari-Contractor,2015-11-05,2021-05-01,Basic,5,5,,19911.35
CL-34102,"Dubey, Sarraf and Gala",2015-10-09,2016-11-01,Pro,28,27,,217689.48
CL-97751,"Sura, Gara and Warrior",2021-03-31,2024-09-01,Basic,9,10,1.0,40223.41
CL-40270,Lall-Nadig,2016-11-21,2016-12-01,Basic,10,9,,35751.8
CL-91913,"Datta, Mishra and Kala",2015-02-26,2018-07-01,Basic,10,10,,39684.68
CL-58467,Bali-Acharya,2022-03-28,2023-05-01,Pro,30,29,1.0,233455.34
CL-10868,Patel Inc,2015-11-19,2017-05-01,Pro,37,37,,296127.58
CL-81288,Khare-Oak,2023-03-26,2024-08-01,Basic,12,11,2.0,43676.67
CL-91913,"Datta, Mishra and Kala",2015-02-26,2025-09-01,Basic,10,10,0.0,39320.07
CL-14568,Sem Group,2020-01-30,2023-11-01,Basic,11,11,1.0,44644.42
CL-93176,Batr-aSamra,2014-11-26,2025-01-01,basic,15,14,1.0,56904.31
CL-36889,Sarraf Ltd,2016-10-18,2021-06-01,Pro,21,23,,181441.47
CL-76329,Tiwari LLC,2017-10-19,2018-05-01,Basic,6,6,,23614.91
CL-47356,Tank Ltd,2017-01-03,2023-10-01,Basic,10,10,1.0,40657.5
CL-93734,"Ganguly, Ramanathan and Chahal",2015-01-13,2023-06-01,Pro,29,30,4.0,239311.54
CL-17957,"Palla, Roy and Taneja",2016-12-28,2018-01-01,Pro,20,17,,133495.65
CL-72092,Choudhry-Mahal,2021-03-11,2024-08-01,Pro,39,39,3.0,316508.11
CL-72755,"Krishnan, Nadig and D’Alia",2018-07-03,2022-10-01,Pro,25,24,2.0,188857.44
CL-76329,Tiwar iLLC,2017-10-19,2022-10-01,basic,6,6,1.0,24366.63
CL-14840,"Mistry, Yogi and Arora",2017-01-11,2018-06-01,Basic,13,14,,56952.76
CL-47356,Tank Ltd,2017-01-03,2025-04-01,Basic,10,10,3.0,40388.0
CL-67266,Mannan-Vig,2020-12-12,2025-03-01,Basic,10,10,1.0,39217.82
CL-13321,"Taneja, Acharya and Thaman",2014-08-11,2014-10-01,Pro,38,36,,289560.73
CL-84275,Sathe PLC,2023-07-01,2024-09-01,Basic,6,6,0.0,24121.59
CL-17047,Parekh-Kari,2015-11-12,2019-09-01,Basic,11,12,,48197.75
CL-31522,"Ramesh, Prashad and Mallick",2017-09-09,2020-12-01,Basic,11,10,,39826.45
CL-80376,Kari and Sons,2016-01-02,2019-06-01,Basic,12,12,,48729.12
CL-73321,Chandran-Chopra,2021-08-08,2022-04-01,Pro,39,40,2.0,320403.17
CL-58664,Tella-Dara,2018-05-19,2019-11-01,Pro,34,33,,267882.13
CL-56738,Keer-Som,2024-11-13,2025-06-01,Basic,7,8,1.0,31921.24
CL-40270,Lall-Nadig,2016-11-21,2018-11-01,Basic,10,10,,39373.72
CL-59713,More-Bhandari,2014-01-20,2016-11-01,Enterprise,48,50,,758246.14
CL-13321,"Taneja, Acharya and Thaman",2014-08-11,2016-05-01,Pro,38,39,,311521.07
CL-26954,"Dani, Issac and Bahri",2022-05-18,2022-10-01,Basic,13,13,1.0,51996.58
CL-36551,Kumer-Ganesan,2018-09-30,2021-02-01,Pro,34,34,,274889.09
CL-17097,Agrawal Ltd,2023-06-30,2024-11-01,Basic,12,11,3.0,44643.78
CL-93176,Batra-Samra,2014-11-26,2025-03-01,Basic,15,16,1.0,64368.49
CL-26502,Badal-Jaggi,2016-11-25,2022-07-01,Basic,12,11,1.0,43887.1
CL-64897,"Narang, Doshi and Pillay",2016-04-18,2019-05-01,Enterprise,63,64,,972254.63
CL-84661,Chana Group,2014-10-18,2018-06-01,Basic,8,9,,35614.8
CL-14840,"Mistry, Yogi and Arora",2017-01-11,2023-01-01,Basic,13,12,5.0,48887.91
CL-18459,"Barman, Mody and Shenoy",2016-03-01,2025-03-01,Basic,9,9,0.0,36149.9
CL-31522,"Ramesh, Prashad and Mallick",2017-09-09,2023-05-01,Basic,11,11,2.0,43346.87
CL-61490,"Ghose, Purohit and Natt",2015-01-21,2024-09-01,Basic,6,6,0.0,23740.35
CL-98268,Bhavsar-Chaudhari,2019-01-29,2025-09-01,Pro,20,21,1.0,165076.66
CL-25169,Kakar Group,2016-09-28,2021-03-01,Basic,11,11,,43621.07
CL-34102,"Dubey, Sararf and Gala",2015-10-09,2019-05-01,pro,28,28,,225639.61
CL-24153,"Sachar, Pandit and Khalsa",2019-05-18,2019-12-01,Pro,17,15,,118665.35
CL-36010,"Agate, Deshpande and Kurian",2022-07-23,2025-09-01,Enterprise,69,71,4.0,1052581.43
CL-64587,"Bhakta, Deshmukh and Lata",2017-04-04,2018-02-01,Basic,11,11,,43691.35
CL-34306,"Mall, Mitra and Contractor",2014-10-07,2019-07-01,Pro,19,19,,150035.31
CL-85839,Kapadia and Sons,2019-09-25,2020-03-01,Basic,8,8,,32563.23
CL-92628,Palan-Jani,2015-11-18,2017-04-01,Pro,19,18,,145152.07
CL-98268,Bhavsar-Chaudhari,2019-01-29,2020-07-01,Pro,20,21,,170666.49
CL-47213,Srinivas-Subramanian,2014-02-01,2023-05-01,Enterprise,92,88,5.0,1339545.33
CL-58503,Ghose-Shah,2019-05-24,2023-08-01,Pro,33,33,2.0,268952.68
CL-46911,"Sabharwal, Mammen and Wason",2016-04-24,2023-11-01,Basic,6,6,0.0,24090.49
CL-92628,Palan-Jani,2015-11-18,2022-06-01,Pro,19,21,1.0,167283.77
CL-19522,"Gera, Char and Raj",2016-03-13,2018-04-01,Pro,38,38,,309966.62
CL-74628,Batra-Acharya,2021-02-09,2024-04-01,Basic,6,6,0.0,23727.67
CL-47213,Srinivas-Subramanian,2014-02-01,2016-09-01,Enterprise,92,94,,1425389.46
CL-73851,Atwal-Ravi,2015-04-29,2017-07-01,Enterprise,93,92,,1359262.86
CL-75439,"Pillay, Khare and Goda",2020-07-08,2023-05-01,Basic,8,8,0.0,32474.79
CL-71617,Chacko Ltd,2013-09-29,2020-07-01,Basic,9,9,,36558.69
CL-25169,Kakar Group,2016-09-28,2016-10-01,Basic,11,11,,44080.23
CL-75925,Jhaveri-Bera,2019-02-04,2025-01-01,Basic,12,11,2.0,44249.73
CL-19522,"Gera, Char and Raj",2016-03-13,2025-09-01,Pro,38,40,2.0,321387.7
CL-10868,Patel Inc,2015-11-19,2018-08-01,Pro,37,38,,308181.85
CL-61312,Comar-Sandal,2014-03-29,2023-09-01,Pro,35,37,4.0,295201.53
CL-24568,Ramaswamy-Thakur,2018-09-19,2019-09-01,Basic,11,11,,44616.62
CL-47213,Srinivas-Subramanian,2014-02-01,2016-05-01,Enterprise,92,88,,1319377.95
CL-42668,"Sangha, Zacharia and Mitra",2018-11-01,2025-02-01,Basic,8,8,1.0,31580.27
CL-96503,Sundaram PLC,2019-01-17,2025-07-01,Enterprise,63,60,4.0,916173.36
CL-26954,"Dani, Issac and Bahri",2022-05-18,2024-06-01,Basic,13,14,4.0,56462.22
CL-37071,Atwal and Sons,2016-11-03,2022-09-01,Basic,7,7,2.0,28057.89
CL-63550,"Garde, Vyas and Sathe",2020-01-16,2024-11-01,Pro,23,23,1.0,181908.94
CL-42668,"Sangha, Zacharia and Mitra",2018-11-01,2024-07-01,Basic,8,8,1.0,32050.32
CL-48764,Memon-Arya,2023-08-31,2023-12-01,Enterprise,73,64,4.0,946137.67
CL-43739,Khosla-Dara,2016-07-13,2024-11-01,Pro,23,24,2.0,191286.14
CL-43739,Khosla-Dara,2016-07-13,2019-01-01,Pro,23,22,,179187.8
CL-30320,Radhakrishnan-Edwin,2024-08-15,2025-02-01,Basic,15,15,3.0,59327.99
CL-22205,Boase-Vohra,2016-06-15,2018-06-01,Enterprise,91,94,,1392450.9
CL-76329,Tiwari LLC,2017-10-19,2019-03-01,Basic,6,6,,23781.6
CL-76898,"Upadhyay, Dave and Ravi",2018-12-05,2024-02-01,Basic,11,11,1.0,44873.85
CL-25427,Soni-Chakrabarti,2018-08-18,2024-07-01,Pro,22,22,1.0,174785.51
CL-47213,Srinivas-Subramanian,2014-02-01,2015-10-01,Enterprise,92,95,,1418650.17
CL-51532,Kadakia and Sons,2016-11-21,2021-10-01,Basic,13,13,2.0,52663.44
CL-75182,Venkatesh-Kala,2020-07-08,2020-08-01,Pro,23,22,,177207.08
CL-96503,Sundaram PLC,2019-01-17,2023-06-01,Enterprise,63,66,3.0,987492.64
CL-24168,Iyengar Group,2017-03-31,2018-11-01,Pro,26,27,,219463.57
CL-51532,Kadakia and Sons,2016-11-21,2023-06-01,Basic,13,13,1.0,51444.13
CL-59713,More-Bhandari,2014-01-20,2014-09-01,Enterprise,48,49,,739267.55
CL-37188,Rege PLC,2020-02-18,2023-10-01,Basic,13,13,2.0,51309.33
CL-56763,Chacko-Chokshi,2018-06-17,2025-06-01,Basic,13,13,2.0,51456.3
CL-40794,Kamdar LLC,2018-01-05,2023-09-01,Pro,18,19,1.0,151674.71
CL-67568,"Salvi, Brahmbhatt and Dutta",2015-02-11,2022-05-01,Pro,29,30,2.0,244114.22
CL-26502,Badal-Jaggi,2016-11-25,2019-01-01,Basic,12,11,,43778.61
CL-93734,"Ganguly, Ramanathan and Chahal",2015-01-13,2024-01-01,Pro,29,25,1.0,197929.77
CL-59245,Sibal-Brahmbhatt,2018-08-24,2024-05-01,Pro,34,35,3.0,280412.99
CL-81288,Khare-Oak,2023-03-26,2023-08-01,Basic,12,12,1.0,48732.18
CL-58503,Ghose-Shah,2019-05-24,2020-12-01,Pro,33,29,,227681.89
CL-36429,Kothari-Contractor,2015-11-05,2025-02-01,Basic,5,5,0.0,20198.19
CL-57058,"Naik, Maharaj and Parmer",2014-06-19,2017-11-01,Basic,11,11,,44523.63
CL-71617,Chacko Ltd,2013-09-29,2016-05-01,Basic,9,9,,36258.24
CL-13321,"Taneja, Acharya and Thaman",2014-08-11,2019-02-01,Pro,38,39,,305922.54
CL-73257,Bajaj-Hegde,2024-11-18,2025-07-01,Pro,37,38,2.0,308727.74
CL-14840,"Mistry, Yogi and Arora",2017-01-11,2020-07-01,Basic,13,13,,51278.45
CL-99845,Chadha-Patel,2015-12-09,2025-09-01,Basic,13,14,5.0,56999.47
CL-73851,Atwal-Ravi,2015-04-29,2023-06-01,Enterprise,93,102,5.0,1557040.48
CL-34102,"Dubey, Sarraf and Gala",2015-10-09,2016-07-01,Pro,28,27,,217520.98
CL-99845,Chadha-Patel,2015-12-09,2016-07-01,Basic,13,13,,52144.09
CL-19522,"Gera, Char and Raj",2016-03-13,2023-01-01,Pro,38,36,3.0,290523.64
CL-17957,"Palla, Roy and Taneja",2016-12-28,2021-05-01,Pro,20,20,,158184.53
CL-47213,Srinivas-Subramanian,2014-02-01,2024-01-01,Enterprise,92,79,4.0,1175892.07
CL-13321,"Taneja, Acharya and Thaman",2014-08-11,2016-04-01,Pro,38,37,,300309.94
CL-71617,Chacko Ltd,2013-09-29,2014-03-01,Basic,9,10,,40518.25
CL-72755,"Krishnan, Nadig and D’Alia",2018-07-03,2021-12-01,Pro,25,22,1.0,173900.83
CL-83431,"Pal, Zachariah and Madan",2015-09-17,2018-10-01,Enterprise,76,74,,1102961.29
CL-36429,Kothari-Contractor,2015-11-05,2016-11-01,Basic,5,5,,19618.7
CL-35893,"Goda, Sampath and Kakar",2018-04-05,2022-11-01,Enterprise,55,58,3.0,871436.37
CL-92628,Palan-Jani,2015-11-18,2022-09-01,Pro,19,19,3.0,154631.84
CL-83431,"Pal, Zachariah and Madan",2015-09-17,2018-11-01,Enterprise,76,73,,1098270.43
CL-93734,"Ganguly, Ramanathan and Chahla",2015-01-13,2020-02-01,pro,29,29,,233305.93
CL-22205,Boase-Vohra,2016-06-15,2017-01-01,Enterprise,91,81,,1206327.36
CL-93176,Batra-Samra,2014-11-26,2015-02-01,Basic,15,15,,60480.34
CL-93176,Batra-Samra,2014-11-26,2018-09-01,Basic,15,15,,58891.11
CL-95027,Rao-Chand,2015-05-18,2019-02-01,Basic,12,13,,52398.51
CL-36551,Kumer-Ganesan,2018-09-30,2025-03-01,Pro,34,37,3.0,294807.32
CL-17097,Agrawal Ltd,2023-06-30,2024-06-01,Basic,12,12,2.0,47152.14
CL-97751,"Sura, Gara and Warrior",2021-03-31,2022-12-01,Basic,9,8,0.0,31598.56
CL-56738,Keer-Som,2024-11-13,2025-09-01,Basic,7,8,0.0,31490.27
CL-68593,"Vohra, Sinha and Lala",2019-07-28,2020-08-01,Pro,21,21,,170048.75
CL-95027,Rao-Chand,2015-05-18,2019-10-01,Basic,12,12,,47287.29
CL-77568,Atwal LLC,2017-10-21,2021-04-01,Basic,11,12,,48491.09
CL-34306,"Mall, Mitra and Contractor",2014-10-07,2024-05-01,Pro,19,19,1.0,151277.76
CL-64492,Om Group,2019-01-19,2020-07-01,Pro,19,19,,152120.77
CL-34306,"Mall, Mitra and Contractor",2014-10-07,2016-08-01,Pro,19,19,,149532.49
CL-36889,Sarraf Ltd,2016-10-18,2020-01-01,Pro,21,19,,150509.47
CL-73321,Chandran-Chopra,2021-08-08,2025-04-01,Pro,39,40,5.0,325877.09
CL-57058,"Naik, Maharaj and Parmer",2014-06-19,2023-01-01,Basic,11,10,1.0,39828.46
CL-46220,Kar-Chandran,2022-08-29,2023-02-01,Basic,11,11,2.0,43517.56
CL-61004,Khatri-Borde,2022-08-30,2024-10-01,Pro,33,33,4.0,265918.44
CL-37071,Atwal and Sons,2016-11-03,2017-02-01,Basic,7,7,,28020.13
CL-57058,"Naik, Maharaj and Parmer",2014-06-19,2014-12-01,Basic,11,10,,40701.01
CL-71617,Chacko Ltd,2013-09-29,2023-11-01,Basic,9,9,0.0,35845.92
CL-72280,Nazareth Group,2021-12-23,2023-09-01,Pro,26,28,3.0,225338.96
CL-31945,"Oommen, Nayar and Gupta",2024-11-15,2024-12-01,Enterprise,92,79,4.0,1164371.96
CL-26502,Badal-Jgagi,2016-11-25,2021-03-01,basic,12,12,,47066.42
CL-79605,"Gole, Varughese and Nadkarni",2016-10-29,2020-05-01,Pro,18,18,,144069.45
CL-47356,Tank Ltd,2017-01-03,2020-01-01,Basic,10,9,,36478.2
CL-51132,"Warrior, Yohannan and Dada",2018-12-28,2020-06-01,Basic,5,5,,20024.39
CL-79605,"Gole, Varughese and Nadkarni",2016-10-29,2021-02-01,Pro,18,19,,150804.75
CL-71617,Chacko Ltd,2013-09-29,2019-09-01,Basic,9,9,,35961.49
CL-81912,Chaudhary PLC,2021-02-01,2021-08-01,Basic,13,13,,52546.68
CL-13321,"Taneja, Acharya and Thaman",2014-08-11,2021-07-01,Pro,38,38,,308844.96
CL-79605,"Gole, Varughese and Nadkarni",2016-10-29,2019-06-01,Pro,18,19,,150644.01
CL-80376,Kari and Sons,2016-01-02,2019-12-01,Basic,12,11,,44074.61
CL-58467,Bali-Acharya,2022-03-28,2023-11-01,Pro,30,29,1.0,228748.08
CL-71516,"Raja, Jhaveri and Ramakrishnan",2019-11-15,2021-04-01,Basic,13,13,,52005.13
CL-24885,"Sawhney, Kale and Gala",2024-09-14,2025-02-01,Basic,15,15,1.0,59357.41
CL-83431,"Pal, Zachariah and Madan",2015-09-17,2023-10-01,Enterprise,76,76,4.0,1125122.34
CL-76898,"Upadhyay, Dave and Ravi",2018-12-05,2021-08-01,Basic,11,11,,44585.36
CL-36429,Kothari-Contractor,2015-11-05,2023-09-01,Basic,5,5,0.0,20091.09
CL-95027,Rao-Chand,2015-05-18,2018-01-01,Basic,12,11,,44376.96
CL-10868,Patel Inc,2015-11-19,2024-01-01,Pro,37,34,4.0,271479.7
CL-97100,"Sandhu, Bahl and Sandal",2019-02-19,2023-03-01,Basic,13,13,1.0,51491.39
CL-54011,Chacko-Korpal,2019-03-21,2025-04-01,Basic,11,11,1.0,43396.72
CL-73851,Atwal-Ravi,2015-04-29,2023-04-01,Enterprise,93,89,8.0,1320834.23
CL-14568,Sem Group,2020-01-30,2025-09-01,Basic,11,12,3.0,47041.86
CL-55480,Mistry-Kumar,2021-04-12,2023-03-01,Pro,32,33,4.0,260425.55
CL-64372,"Kara, Venkataraman and Jha",2014-07-01,2024-02-01,Basic,12,12,1.0,48424.41
CL-25427,Soni-Chakrabarti,2018-08-18,2023-11-01,Pro,22,23,2.0,181186.17
CL-97964,Kapoor Inc,2015-11-09,2019-04-01,Pro,35,35,,280896.32
CL-82328,"Morar, Chana and Nadkarni",2016-11-16,2021-02-01,Pro,27,28,,225974.88
CL-51532,Kadakia and Sons,2016-11-21,2022-08-01,Basic,13,13,1.0,52314.51
CL-73851,Atawl-Ravi,2015-04-29,2022-05-01,Enterprise ,93,91,5.0,1353050.15
CL-72755,"Krishnan, Nadig and D’Alia",2018-07-03,2022-08-01,Pro,25,25,1.0,197680.9
CL-64372,"Kara, Venkataraman and Jha",2014-07-01,2015-02-01,Basic,12,13,,52010.89
CL-80376,Kari and Sons,2016-01-02,2020-04-01,Basic,12,12,,47117.89
CL-34102,"Dubey, Sarraf and Gala",2015-10-09,2022-03-01,Pro,28,30,2.0,236704.83
CL-57523,Bava-Khare,2021-12-29,2023-06-01,Basic,12,13,1.0,51543.29
CL-42668,"Sangha, Zacharia and Mitra",2018-11-01,2025-08-01,Basic,8,8,3.0,31490.93
CL-79605,"Gole, Varughese and Nadkarni",2016-10-29,2024-09-01,Pro,18,18,2.0,144215.5
CL-64897,"Narang, Doshi and Pillay",2016-04-18,2017-08-01,Enterprise,63,65,,960368.08
CL-47356,Tank Ltd,2017-01-03,2023-11-01,Basic,10,10,0.0,39429.81
CL-47356,Tank Ltd,2017-01-03,2024-12-01,Basic,10,9,0.0,36319.74
CL-35893,"Goda, Sampath and Kakar",2018-04-05,2023-01-01,Enterprise,55,51,3.0,771025.14
CL-35893,"Goda, Sampath and Kakar",2018-04-05,2022-03-01,Enterprise,55,58,5.0,885318.15
CL-36551,Kumer-Ganesan,2018-09-30,2021-11-01,Pro,34,33,2.0,261661.04
CL-41683,Manda-Kunda,2021-10-05,2024-02-01,Basic,13,13,2.0,51688.56
CL-40270,Lall-Nadig,2016-11-21,2023-07-01,Basic,10,10,0.0,40750.18
CL-15441,"Dubey, Tailor and Batra",2022-08-25,2023-10-01,Pro,27,26,1.0,207083.3
CL-99845,Chadha-Patel,2015-12-09,2019-07-01,Basic,13,14,,56660.34
CL-55774,"Sheth, Khosla and Zachariah",2015-03-16,2020-11-01,Basic,7,7,,27749.73
CL-97964,Kapoor Inc,2015-11-09,2016-10-01,Pro,35,34,,270245.54
CL-13321,"Taneja, Acharya and Thaman",2014-08-11,2021-04-01,Pro,38,37,,295657.79
CL-97964,Kapoor Inc,2015-11-09,2025-01-01,Pro,35,32,3.0,256195.72
CL-51532,Kadakia and Sons,2016-11-21,2020-01-01,Basic,13,11,,43795.64
CL-72092,Choudhry-Mahal,2021-03-11,2023-09-01,Pro,39,39,2.0,312156.85
CL-93176,Batra-Samra,2014-11-26,2022-05-01,Basic,15,16,2.0,64512.48
CL-73992,Batta and Sons,2017-08-12,2022-11-01,Pro,28,27,1.0,214285.08
CL-37188,Rege PLC,2020-02-18,2020-10-01,Basic,13,14,,56311.51
CL-36551,Kumer-Ganesan,2018-09-30,2023-10-01,Pro,34,34,2.0,269864.51
CL-92628,Palan-Jani,2015-11-18,2025-09-01,Pro,19,19,1.0,149479.53
CL-99845,Chadha-Patel,2015-12-09,2022-06-01,Basic,13,13,1.0,52381.15
CL-61312,Comar-Sandal,2014-03-29,2021-07-01,Pro,35,35,,282669.38
CL-20694,Bumb Ltd,2016-08-29,2023-08-01,Pro,17,17,3.0,135789.31
CL-39250,"Chandra, Wali and Goel",2020-07-13,2025-08-01,Basic,6,6,1.0,23993.78
CL-42668,"Sangha, Zacharia and Mitra",2018-11-01,2021-02-01,Basic,8,8,,32375.07
CL-22205,Boase-Vohra,2016-06-15,2019-01-01,Enterprise,91,83,,1250543.1
CL-64587,"Bhakta, Deshmukh and Lata",2017-04-04,2021-05-01,Basic,11,11,,43507.59
CL-37071,Atwal and Sons,2016-11-03,2025-02-01,Basic,7,7,4.0,27705.32
CL-39250,"Chandra, Wali and Goel",2020-07-13,2022-08-01,Basic,6,6,0.0,24339.21
CL-35893,"Goda, Sampath nad Kakar",2018-04-05,2019-01-01,enterprise,55,50,,735056.36
CL-47356,Tank Ltd,2017-01-03,2021-12-01,Basic,10,9,3.0,36170.04
CL-73851,Atwal-Ravi,2015-04-29,2015-11-01,Enterprise,93,93,,1378908.31
CL-41706,"Manne, Verma and Gour",2015-12-28,2017-08-01,Pro,31,30,,238156.17
CL-88571,"Narasimhan, Reddy and Dhawan",2014-12-25,2023-03-01,Basic,8,9,0.0,36611.68
CL-97964,Kapoor Inc,2015-11-09,2024-03-01,Pro,35,37,3.0,299090.53
CL-64372,"Kara, Venkataraman and Jha",2014-07-01,2023-04-01,Basic,12,12,1.0,47572.32
CL-59713,More-Bhandari,2014-01-20,2020-10-01,Enterprise,48,47,,692738.36
CL-26502,Badal-Jaggi,2016-11-25,2021-04-01,Basic,12,12,,48013.62
CL-59245,Sibal-Brahmbhatt,2018-08-24,2019-11-01,Pro,34,35,,283130.61
CL-25169,Kakar Group,2016-09-28,2018-10-01,Basic,11,11,,43339.67
CL-43739,Khosla-Dara,2016-07-13,2024-10-01,Pro,23,24,5.0,194300.95
CL-84661,Chana Group,2014-10-18,2021-11-01,Basic,8,8,0.0,32223.23
CL-71617,Chacko Ltd,2013-09-29,2018-09-01,Basic,9,10,,40785.41
CL-17957,"Palla, Roy and Taneja",2016-12-28,2021-11-01,Pro,20,20,1.0,162359.09
CL-46911,"Sabharwal, Mammen and Wason",2016-04-24,2025-09-01,Basic,6,7,2.0,27515.93
CL-61312,Comar-Sandal,2014-03-29,2017-06-01,Pro,35,38,,307182.58
CL-75349,"Kaul, Narain and Atwal",2021-07-17,2024-07-01,Pro,31,32,5.0,254946.14
CL-37071,Atwal and Sons,2016-11-03,2021-07-01,Basic,7,7,,27895.95
CL-47213,Srinivas-Subramanian,2014-02-01,2024-04-01,Enterprise,92,87,4.0,1327279.26
CL-91913,"Datta, Mishra and Kala",2015-02-26,2022-09-01,Basic,10,11,1.0,43932.41
CL-76898,"Upadhyay, Dave and Ravi",2018-12-05,2019-01-01,Basic,11,10,,39745.58
CL-37188,Rege PLC,2020-02-18,2024-11-01,Basic,13,13,2.0,52118.48
CL-41800,Tiwari-Garde,2020-04-22,2024-05-01,Basic,15,15,3.0,59903.11
CL-25169,Kakar Group,2016-09-28,2017-10-01,Basic,11,11,,44493.21
CL-84463,Mnane-Pradhan,2021-05-21,2021-11-01,pro,31,30,2.0,244755.81
CL-75925,Jhaveri-Bera,2019-02-04,2022-07-01,Basic,12,12,2.0,48288.71
CL-75925,Jhaveri-Bera,2019-02-04,2019-11-01,Basic,12,12,,47950.4
CL-77568,Atwal LLC,2017-10-21,2021-10-01,Basic,11,11,2.0,43849.12
